VariableCode,RegionCode,YearCode,AggValue
rgdpo,AZE,1990,76027.46093750000000000
rgdpo,AZE,1991,109719.77343750000000000
rgdpo,AZE,1992,79636.86718750000000000
rgdpo,AZE,1993,44350.05078125000000000
rgdpo,AZE,1994,34694.67187500000000000
rgdpo,AZE,1995,21608.81640625000000000
rgdpo,AZE,1996,20621.40625000000000000
rgdpo,AZE,1997,19018.43164062500000000
rgdpo,AZE,1998,19078.30078125000000000
rgdpo,AZE,1999,20238.77539062500000000
rgdpo,AZE,2000,22876.30859375000000000
rgdpo,AZE,2001,26036.88476562500000000
rgdpo,AZE,2002,26988.17382812500000000
rgdpo,AZE,2003,28477.84375000000000000
rgdpo,AZE,2004,30133.37500000000000000
rgdpo,AZE,2005,46967.03515625000000000
rgdpo,AZE,2006,68842.20312500000000000
rgdpo,AZE,2007,94222.03906250000000000
rgdpo,AZE,2008,105286.92187500000000000
rgdpo,AZE,2009,107973.03906250000000000
rgdpo,AZE,2010,129773.62500000000000000
rgdpo,AZE,2011,165605.93750000000000000
rgdpo,AZE,2012,178505.62500000000000000
rgdpo,AZE,2013,164194.42187500000000000
rgdpo,AZE,2014,179127.50000000000000000
rgdpo,AZE,2015,140311.09375000000000000
rgdpo,AZE,2016,134143.28125000000000000
rgdpo,AZE,2017,138733.95312500000000000
rgdpo,AZE,2018,154641.23437500000000000
rgdpo,AZE,2019,159346.00000000000000000
rgdpo,BRB,1971,3810.46484375000000000
rgdpo,BRB,1972,3882.19018554688000000
rgdpo,BRB,1973,3773.21679687500000000
rgdpo,BRB,1974,3415.07299804688000000
rgdpo,BRB,1975,4068.90258789063000000
rgdpo,BRB,1976,3216.32617187500000000
rgdpo,BRB,1977,3258.92724609375000000
rgdpo,BRB,1978,3110.29003906250000000
rgdpo,BRB,1979,3273.27978515625000000
rgdpo,BRB,1980,3227.87939453125000000
rgdpo,BRB,1981,3206.81884765625000000
rgdpo,BRB,1982,3260.09008789063000000
rgdpo,BRB,1983,3367.60888671875000000
rgdpo,BRB,1984,3459.92626953125000000
rgdpo,BRB,1985,3024.28930664063000000
rgdpo,BRB,1986,3533.90332031250000000
rgdpo,BRB,1987,3861.82104492188000000
rgdpo,BRB,1988,4046.08056640625000000
rgdpo,BRB,1989,4371.98291015625000000
rgdpo,BRB,1990,4125.80761718750000000
rgdpo,BRB,1991,4363.14892578125000000
rgdpo,BRB,1992,3306.60473632813000000
rgdpo,BRB,1993,3489.93481445313000000
rgdpo,BRB,1994,5760.76123046875000000
rgdpo,BRB,1995,6294.11669921875000000
rgdpo,BRB,1996,6741.34765625000000000
rgdpo,BRB,1997,6281.64941406250000000
rgdpo,BRB,1998,6565.78369140625000000
rgdpo,BRB,1999,6513.77636718750000000
rgdpo,BRB,2000,6407.14208984375000000
rgdpo,BRB,2001,6275.50097656250000000
rgdpo,BRB,2002,6215.98925781250000000
rgdpo,BRB,2003,5736.71386718750000000
rgdpo,BRB,2004,5944.78271484375000000
rgdpo,BRB,2005,6088.04150390625000000
rgdpo,BRB,2006,5707.13183593750000000
rgdpo,BRB,2007,6052.80908203125000000
rgdpo,BRB,2008,5582.19042968750000000
rgdpo,BRB,2009,4945.92382812500000000
rgdpo,BRB,2010,4747.01904296875000000
rgdpo,BRB,2011,4333.07421875000000000
rgdpo,BRB,2012,4045.71215820313000000
rgdpo,BRB,2013,3726.78466796875000000
rgdpo,BRB,2014,3727.57373046875000000
rgdpo,BRB,2015,3620.51538085938000000
rgdpo,BRB,2016,3592.67993164063000000
rgdpo,BRB,2017,3378.02661132813000000
rgdpo,BRB,2018,3442.40258789063000000
rgdpo,BRB,2019,3506.66796875000000000
rgdpo,DOM,1960,10632.89160156250000000
rgdpo,DOM,1961,10432.82617187500000000
rgdpo,DOM,1962,11496.49609375000000000
rgdpo,DOM,1963,11145.07128906250000000
rgdpo,DOM,1964,11518.10351562500000000
rgdpo,DOM,1965,10781.70019531250000000
rgdpo,DOM,1966,11098.95898437500000000
rgdpo,DOM,1967,11464.99023437500000000
rgdpo,DOM,1968,11236.71386718750000000
rgdpo,DOM,1969,12158.75292968750000000
rgdpo,DOM,1970,13963.44531250000000000
rgdpo,DOM,1971,15098.82617187500000000
rgdpo,DOM,1972,18190.59375000000000000
rgdpo,DOM,1973,19987.07812500000000000
rgdpo,DOM,1974,19877.46289062500000000
rgdpo,DOM,1975,20800.05664062500000000
rgdpo,DOM,1976,23703.84179687500000000
rgdpo,DOM,1977,23466.83398437500000000
rgdpo,DOM,1978,23636.88476562500000000
rgdpo,DOM,1979,24533.88085937500000000
rgdpo,DOM,1980,23783.17187500000000000
rgdpo,DOM,1981,27108.22460937500000000
rgdpo,DOM,1982,27568.67187500000000000
rgdpo,DOM,1983,28998.03125000000000000
rgdpo,DOM,1984,32450.73828125000000000
rgdpo,DOM,1985,33167.89453125000000000
rgdpo,DOM,1986,35243.58203125000000000
rgdpo,DOM,1987,39390.99609375000000000
rgdpo,DOM,1988,41856.03906250000000000
rgdpo,DOM,1989,39299.33984375000000000
rgdpo,DOM,1990,36452.87890625000000000
rgdpo,DOM,1991,37118.35546875000000000
rgdpo,DOM,1992,43368.69921875000000000
rgdpo,DOM,1993,47489.69140625000000000
rgdpo,DOM,1994,49964.34765625000000000
rgdpo,DOM,1995,51053.33984375000000000
rgdpo,DOM,1996,53062.65625000000000000
rgdpo,DOM,1997,58751.84765625000000000
rgdpo,DOM,1998,65983.28906250000000000
rgdpo,DOM,1999,70425.56250000000000000
rgdpo,DOM,2000,71091.12500000000000000
rgdpo,DOM,2001,78671.21875000000000000
rgdpo,DOM,2002,78946.96093750000000000
rgdpo,DOM,2003,73253.94531250000000000
rgdpo,DOM,2004,76323.63281250000000000
rgdpo,DOM,2005,85803.69531250000000000
rgdpo,DOM,2006,96746.27343750000000000
rgdpo,DOM,2007,106525.80468750000000000
rgdpo,AUS,1960,165419.75000000000000000
rgdpo,AUS,1961,170311.68750000000000000
rgdpo,AUS,1962,179626.21875000000000000
rgdpo,AUS,1963,192393.90625000000000000
rgdpo,AUS,1964,201940.23437500000000000
rgdpo,AUS,1965,204649.67187500000000000
rgdpo,AUS,1966,218782.98437500000000000
rgdpo,AUS,1967,228736.40625000000000000
rgdpo,AUS,1968,246073.59375000000000000
rgdpo,AUS,1969,264889.34375000000000000
rgdpo,AUS,1970,275292.34375000000000000
rgdpo,AUS,1971,285965.40625000000000000
rgdpo,AUS,1972,295046.56250000000000000
rgdpo,AUS,1973,308242.96875000000000000
rgdpo,AUS,1974,297153.71875000000000000
rgdpo,AUS,1975,303125.43750000000000000
rgdpo,AUS,1976,316724.00000000000000000
rgdpo,AUS,1977,322573.34375000000000000
rgdpo,AUS,1978,337628.53125000000000000
rgdpo,AUS,1979,348575.31250000000000000
rgdpo,AUS,1980,360226.40625000000000000
rgdpo,AUS,1981,376529.06250000000000000
rgdpo,AUS,1982,367700.25000000000000000
rgdpo,AUS,1983,389328.59375000000000000
